iter	Logloss	Accuracy	Recall
0	0.6646283087	0.7874251497	0.6719367589
1	0.6302598508	0.7874251497	0.6719367589
2	0.6006498965	0.8038922156	0.7075098814
3	0.5756254367	0.8038922156	0.6640316206
4	0.5540715292	0.8128742515	0.6798418972
5	0.5354279844	0.8308383234	0.6166007905
6	0.5194158497	0.8278443114	0.6205533597
7	0.5071636817	0.8293413174	0.6126482213
8	0.4966147417	0.8293413174	0.6126482213
9	0.4857584788	0.8293413174	0.6126482213
10	0.4781469014	0.8293413174	0.6126482213
11	0.4698997543	0.8323353293	0.6205533597
12	0.4626251495	0.8293413174	0.6126482213
13	0.4562506305	0.8308383234	0.6166007905
14	0.4518237999	0.8293413174	0.6126482213
15	0.4467925112	0.8293413174	0.6126482213
16	0.4421745803	0.8293413174	0.6126482213
17	0.4380447479	0.8308383234	0.6166007905
18	0.4344085876	0.8323353293	0.6403162055
19	0.432096744	0.8293413174	0.652173913
20	0.4305467434	0.8218562874	0.6600790514
21	0.4288174749	0.8248502994	0.6403162055
22	0.4264370581	0.8263473054	0.6442687747
23	0.4226956853	0.8263473054	0.6640316206
24	0.420774357	0.8353293413	0.6482213439
25	0.4195548417	0.8338323353	0.6640316206
26	0.4181686675	0.8338323353	0.652173913
27	0.4158556361	0.8383233533	0.6561264822
28	0.4155182981	0.8383233533	0.6561264822
29	0.4135937262	0.8368263473	0.652173913
30	0.4116494184	0.8398203593	0.6640316206
31	0.4108202814	0.8368263473	0.6561264822
32	0.4103247363	0.8368263473	0.6561264822
33	0.4091646115	0.8383233533	0.6561264822
34	0.4074624798	0.8398203593	0.6600790514
35	0.4065788406	0.8413173653	0.6640316206
36	0.4058466928	0.8368263473	0.6600790514
37	0.4047201922	0.8368263473	0.6600790514
38	0.402858894	0.8398203593	0.6679841897
39	0.4023197197	0.8383233533	0.6640316206
40	0.4019843918	0.8398203593	0.6679841897
41	0.4014115933	0.8383233533	0.6679841897
42	0.4006185018	0.8428143713	0.6837944664
43	0.4002250169	0.8428143713	0.6837944664
44	0.3998520903	0.8413173653	0.6719367589
45	0.3993786109	0.8413173653	0.6758893281
46	0.3983376783	0.8443113772	0.6916996047
47	0.3980845377	0.8473053892	0.6956521739
48	0.3978509503	0.8443113772	0.6916996047
49	0.3966502115	0.8428143713	0.6758893281
